   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading	Chl
   3.1500117e+02	   4.7634464e+01	  -4.7953691e+01	   1.1666151e+00	   1.4427466e-01	   2.8272623e+00	   3.2683167e+01	   1.7902791e+02	   1.0097341e+01	   2.8564171e+01	   8.1628726e-01	
   3.1500466e+02	   4.7645376e+01	  -4.7940436e+01	   1.0276533e+00	   1.2827458e-01	   2.7867392e+00	   3.2718680e+01	   1.6539635e+02	   9.9312044e+00	   3.0495564e+01	   7.7292061e-01	
   3.1500816e+02	   4.7655442e+01	  -4.7926336e+01	   1.1479431e+00	   1.3960136e-01	   2.8075306e+00	   3.2857261e+01	   1.5401432e+02	   1.0206543e+01	   3.2243547e+01	   7.3079619e-01	
   3.1501165e+02	   4.7665509e+01	  -4.7912236e+01	   9.8254605e-01	   1.1785303e-01	   2.9475148e+00	   3.3000213e+01	   1.4466542e+02	   1.0060000e+01	   2.8606212e+01	   6.5939639e-01	
   3.1501515e+02	   4.7675864e+01	  -4.7898136e+01	   8.9335758e-01	   1.0590370e-01	   3.0279919e+00	   3.3054049e+01	   1.5213284e+02	   1.0193932e+01	   3.0033061e+01	   6.6632534e-01	
   3.1501846e+02	   4.7686109e+01	  -4.7885836e+01	   1.0984859e+00	   1.3815652e-01	   3.1997715e+00	   3.3252830e+01	   1.6198253e+02	   1.0167269e+01	   2.8835274e+01	   5.7346422e-01	
   3.1504626e+02	   4.7770176e+01	  -4.7779824e+01	   8.2968835e-01	   1.0672602e-01	   3.3520754e+00	   3.3208211e+01	   1.3589033e+02	   9.8110898e+00	   3.2787922e+01	   5.1056691e-01	
   3.1504976e+02	   4.7780242e+01	  -4.7767636e+01	   8.1322036e-01	   1.0653879e-01	   3.3767605e+00	   3.3217676e+01	   1.2949103e+02	   9.8924247e+00	   3.0783156e+01	   4.7604230e-01	
   3.1505325e+02	   4.7790309e+01	  -4.7753691e+01	   7.2815889e-01	   9.0692003e-02	   3.3435562e+00	   3.3235726e+01	   1.3244465e+02	   9.8854465e+00	   3.0587983e+01	   4.8520848e-01	
   3.1505675e+02	   4.7800376e+01	  -4.7740624e+01	   7.3299102e-01	   9.7495492e-02	   3.2676299e+00	   3.3266248e+01	   1.2038948e+02	   9.8400546e+00	   3.1597274e+01	   4.2906715e-01	
   3.1506024e+02	   4.7810442e+01	  -4.7727336e+01	   5.8651969e-01	   8.0428176e-02	   3.3717632e+00	   3.3385320e+01	   1.1783689e+02	   9.8432720e+00	   3.4256374e+01	   3.8957478e-01	
   3.1506374e+02	   4.7820509e+01	  -4.7713237e+01	   7.3448882e-01	   9.2589883e-02	   3.5298815e+00	   3.3473021e+01	   1.0603546e+02	   1.0163608e+01	   3.1069332e+01	   3.5267504e-01	
   3.1506723e+02	   4.7830576e+01	  -4.7700137e+01	   6.4668839e-01	   9.1195802e-02	   3.7237157e+00	   3.3557752e+01	   1.0369120e+02	   9.4619522e+00	   2.7010811e+01	   2.8195371e-01	
   3.1507073e+02	   4.7840964e+01	  -4.7687036e+01	   5.2380122e-01	   7.5114015e-02	   3.6921132e+00	   3.3524744e+01	   1.1177517e+02	   1.0189339e+01	   2.8907946e+01	   2.6067520e-01	
   3.1507422e+02	   4.7851709e+01	  -4.7673291e+01	   5.2746766e-01	   7.3884380e-02	   3.6620408e+00	   3.3558823e+01	   1.0643160e+02	   9.8826640e+00	   2.8758414e+01	   2.7315714e-01	
   3.1507772e+02	   4.7861776e+01	  -4.7660224e+01	   5.7149810e-01	   7.7658108e-02	   3.8566477e+00	   3.3601664e+01	   1.0728362e+02	   1.0044913e+01	   3.2566830e+01	   2.6301616e-01	
   3.1508121e+02	   4.7872842e+01	  -4.7647158e+01	   6.3255174e-01	   7.7100478e-02	   4.1835411e+00	   3.3666120e+01	   1.0486270e+02	   1.0390557e+01	   3.4201955e+01	   2.3845780e-01	
   3.1508470e+02	   4.7882876e+01	  -4.7634124e+01	   6.2197957e-01	   8.0998998e-02	   4.2716537e+00	   3.3656705e+01	   1.0556465e+02	   9.6956219e+00	   2.9547641e+01	   2.6014277e-01	
   3.1508818e+02	   4.7893909e+01	  -4.7622091e+01	   7.3587544e-01	   8.9808795e-02	   4.3850428e+00	   3.3712381e+01	   1.0090015e+02	   9.9654916e+00	   3.1328426e+01	   2.5543476e-01	
   3.1509168e+02	   4.7903976e+01	  -4.7609536e+01	   6.6486718e-01	   8.0307442e-02	   4.6047851e+00	   3.3773664e+01	   9.9158501e+01	   1.0054879e+01	   3.1457323e+01	   2.3776052e-01	
   3.1509517e+02	   4.7915042e+01	  -4.7596958e+01	   5.2789068e-01	   6.9090513e-02	   4.7496268e+00	   3.3779205e+01	   9.5956367e+01	   9.4521223e+00	   2.9661566e+01	   2.5029224e-01	
