   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading	Chl
   2.4919877e+02	   4.4370000e+01	  -4.3414000e+01	   2.2748237e+00	   4.9984143e-02	   1.8169059e+01	   3.3329312e+01	   9.3210064e+01	   2.1633828e-01	   2.3601113e+02	   1.2380129e-01	
   2.4921284e+02	   4.4369000e+01	  -4.3413000e+01	   2.2540265e+00	   5.5360977e-02	   1.8180470e+01	   3.3331228e+01	   9.3444591e+01	   9.0121392e-02	   2.2615784e+02	   1.1748134e-01	
   2.4922692e+02	   4.4368000e+01	  -4.3412000e+01	   2.1946188e+00	   5.0397595e-02	   1.8170988e+01	   3.3334759e+01	   9.4366238e+01	   4.3122079e-01	   2.4392208e+02	   1.4346675e-01	
   2.4924099e+02	   4.4368000e+01	  -4.3413000e+01	   2.3665870e+00	   5.2642125e-02	   1.8175128e+01	   3.3365333e+01	   9.2838657e+01	   3.2390967e-01	   2.1962786e+02	   1.1210350e-01	
   2.4925507e+02	   4.4367000e+01	  -4.3410000e+01	   2.0545237e+00	   4.6493060e-02	   1.8183228e+01	   3.3359169e+01	   9.2662182e+01	   4.8344546e-01	   2.1919664e+02	   1.1663020e-01	
   2.4926914e+02	   4.4366078e+01	  -4.3410000e+01	   2.0717282e+00	   1.5092102e-01	   1.8165578e+01	   3.3348062e+01	   9.2745398e+01	   4.9141971e-01	   2.2985320e+02	   1.1467233e-01	
   2.4928321e+02	   4.4370000e+01	  -4.3412000e+01	   1.7268670e+00	   4.3950001e-02	   1.8184875e+01	   3.3360700e+01	   9.2326418e+01	   1.2909428e+00	   2.4139434e+02	   1.1526709e-01	
   2.4929729e+02	   4.4370000e+01	  -4.3414000e+01	   1.9409359e+00	   4.6501387e-02	   1.8183473e+01	   3.3361584e+01	   9.3188399e+01	   4.9812513e-01	   2.5044554e+02	   1.1024453e-01	
   2.4931136e+02	   4.4370000e+01	  -4.3414000e+01	   2.3112274e+00	   6.0306261e-02	   1.8185639e+01	   3.3350646e+01	   9.2749709e+01	   2.8000000e-01	   2.3452781e+02	   1.0713903e-01	
   2.4932544e+02	   4.4370000e+01	  -4.3413000e+01	   2.2001915e+00	   5.3261798e-02	   1.8192882e+01	   3.3369481e+01	   9.0903424e+01	   3.3068484e-01	   2.1260685e+02	   1.1066591e-01	
   2.4933951e+02	   4.4371000e+01	  -4.3409745e+01	   2.2859998e+00	   1.7511231e-01	   1.8213374e+01	   3.3363821e+01	   9.0523418e+01	  -6.1498079e-02	   2.0008080e+02	   1.2144802e-01	
   2.4935359e+02	   4.4370000e+01	  -4.3406000e+01	   1.9756728e+00	   4.3225073e-02	   1.8193257e+01	   3.3360761e+01	   9.1891694e+01	  -3.0175552e-01	   1.9919561e+02	   1.1485938e-01	
   2.4936766e+02	   4.4372000e+01	  -4.3398211e+01	   2.3063080e+00	   4.8135095e-02	   1.8256965e+01	   3.3359596e+01	   9.0080723e+01	  -3.2000000e-01	   2.0100000e+02	   1.3863024e-01	
   2.4938173e+02	   4.4372000e+01	  -4.3391000e+01	   2.2319418e+00	   7.3896616e-02	   1.8196695e+01	   3.3361094e+01	   9.3200686e+01	   5.5655240e-01	   2.0039448e+02	   1.3808307e-01	
   2.4939581e+02	   4.4372000e+01	  -4.3387000e+01	   2.3441869e+00	   5.3208307e-02	   1.8190425e+01	   3.3362639e+01	   9.3688462e+01	   4.6678138e-01	   2.4003907e+02	   1.2364700e-01	
   2.4940988e+02	   4.4372000e+01	  -4.3387000e+01	   2.1176254e+00	   4.0256316e-02	   1.8201088e+01	   3.3352406e+01	   9.2064081e+01	   2.0114673e-01	   2.3950000e+02	   1.3626750e-01	
   2.4942396e+02	   4.4372000e+01	  -4.3388000e+01	   2.1908570e+00	   5.7704124e-02	   1.8218196e+01	   3.3341901e+01	   9.0000000e+01	   2.3159392e-01	   2.2925797e+02	   1.2945456e-01	
   2.4943803e+02	   4.4371000e+01	  -4.3387000e+01	   2.0034257e+00	   5.6227421e-02	   1.8226915e+01	   3.3336924e+01	   8.8850524e+01	   1.2121763e-01	   2.2950000e+02	   1.2092101e-01	
   2.4946618e+02	   4.4370000e+01	  -4.3385000e+01	   2.3923429e+00	   6.2984395e-02	   1.8225497e+01	   3.3341124e+01	   8.5420752e+01	  -5.9308281e-02	   2.3706551e+02	   1.1428278e-01	
   2.4948025e+02	   4.4370000e+01	  -4.3381000e+01	   2.4830430e+00	   6.4002570e-02	   1.8247296e+01	   3.3345284e+01	   8.7200000e+01	  -7.1608406e-01	   2.4044699e+02	   1.1742713e-01	
   2.4954963e+02	   4.4369000e+01	  -4.3367000e+01	   2.4228447e+00	   4.2795474e-02	   1.8372054e+01	   3.3333471e+01	   8.7935686e+01	   8.2156769e-02	   2.2436804e+02	   1.0304456e-01	
   2.4956370e+02	   4.4367000e+01	  -4.3364000e+01	   2.2211493e+00	   3.9862931e-02	   1.8418138e+01	   3.3329335e+01	   9.1526476e+01	   8.7352441e-02	   2.2479713e+02	   1.0474924e-01	
   2.4957777e+02	   4.4365000e+01	  -4.3360000e+01	   2.1347707e+00	   3.7349348e-02	   1.8416990e+01	   3.3326629e+01	   8.6132721e+01	   1.9422877e-01	   2.3590000e+02	   1.0073234e-01	
   2.4959185e+02	   4.4361000e+01	  -4.3361000e+01	   1.8443812e+00	   3.7329923e-02	   1.8436192e+01	   3.3325949e+01	   8.6159445e+01	   6.1405360e-01	   2.3481351e+02	   1.1146990e-01	
   2.4960592e+02	   4.4359000e+01	  -4.3362000e+01	   1.9246891e+00	   1.5122338e-01	   1.8441086e+01	   3.3326496e+01	   7.9266447e+01	   2.1657863e-01	   2.8004408e+02	   1.1031532e-01	
   2.4962000e+02	   4.4360000e+01	  -4.3366000e+01	   1.8386057e+00	   3.3674934e-02	   1.8449172e+01	   3.3327330e+01	   7.9692904e+01	   1.0319994e+00	   2.8107093e+02	   1.2621576e-01	
   2.4963407e+02	   4.4358000e+01	  -4.3363000e+01	   2.4059285e+00	   4.3744856e-02	   1.8471203e+01	   3.3327858e+01	   8.3113888e+01	  -5.6569440e-01	   2.8907354e+02	   1.0960638e-01	
   2.4964815e+02	   4.4359000e+01	  -4.3358000e+01	   2.5343213e+00	   4.7979621e-02	   1.8446863e+01	   3.3327125e+01	   8.3319394e+01	  -5.6494277e-01	   2.3945057e+02	   1.1579450e-01	
   2.4966222e+02	   4.4358000e+01	  -4.3354000e+01	   2.9154494e+00	   5.8926620e-02	   1.8383753e+01	   3.3328509e+01	   8.3559283e+01	  -3.9819034e-01	   2.3958643e+02	   1.0214604e-01	
   2.4967629e+02	   4.4358000e+01	  -4.3350000e+01	   3.2625242e+00	   6.1404775e-02	   1.8423116e+01	   3.3335444e+01	   8.3646427e+01	  -2.5550005e-01	   2.3866643e+02	   9.9896469e-02	
   2.4969037e+02	   4.4357000e+01	  -4.3347000e+01	   2.7014333e+00	   2.6390481e-01	   1.8502231e+01	   3.3346049e+01	   8.3467825e+01	  -4.2274218e-01	   2.3890238e+02	   9.6671359e-02	
   2.4970444e+02	   4.4358000e+01	  -4.3343245e+01	   2.3615178e+00	   1.2877382e-01	   1.8552061e+01	   3.3348375e+01	   8.4052882e+01	  -2.5076864e-01	   2.3919424e+02	   8.9594084e-02	
   2.4971852e+02	   4.4357000e+01	  -4.3339979e+01	   2.1579684e+00	   4.3819634e-02	   1.8613794e+01	   3.3359700e+01	   8.2034156e+01	  -2.8679791e-01	   2.3860000e+02	   9.3333947e-02	
   2.4974666e+02	   4.4353000e+01	  -4.3335000e+01	   2.2296821e+00	   4.8293096e-02	   1.8777123e+01	   3.3366678e+01	   8.4701530e+01	   3.3358839e-01	   2.3877735e+02	   8.7076485e-02	
   2.4976074e+02	   4.4352000e+01	  -4.3331000e+01	   2.3151000e+00	   5.2840510e-02	   1.8456772e+01	   3.3366493e+01	   8.6770997e+01	  -3.6603724e-01	   2.3922850e+02	   9.2184127e-02	
   2.4981703e+02	   4.4330000e+01	  -4.3343000e+01	   2.3590297e+00	   5.4165436e-02	   1.8750116e+01	   3.3371634e+01	   8.6664458e+01	   1.4632702e+00	   2.3004392e+02	   9.5645398e-02	
   2.4987234e+02	   4.4324042e+01	  -4.3330479e+01	   2.5735798e+00	   6.1652179e-02	   1.8624847e+01	   3.3369248e+01	   8.3794507e+01	   5.7413970e+00	   1.8735164e+01	   9.1548673e-02	
   2.4988641e+02	   4.4350788e+01	  -4.3303212e+01	   2.7395177e+00	   6.4854451e-02	   1.8659791e+01	   3.3364021e+01	   8.4600467e+01	   5.6642453e+00	   2.9721226e+01	   8.7730264e-02	
   2.4989889e+02	   4.4362000e+01	  -4.3292000e+01	   2.4552391e+00	   8.5718940e-02	   1.8632426e+01	   3.3361195e+01	   8.5468315e+01	  -5.1651526e-01	   2.3809505e+02	   8.9731549e-02	
   2.4994321e+02	   4.4345000e+01	  -4.3301000e+01	   1.9190133e+00	   4.4546877e-02	   1.8483461e+01	   3.3367859e+01	   8.2940349e+01	   1.5587718e-01	   2.6393859e+02	   8.5861220e-02	
   2.4995729e+02	   4.4344854e+01	  -4.3301000e+01	   1.9233273e+00	   5.8101307e-02	   1.8483135e+01	   3.3372256e+01	   8.2810727e+01	   1.4164758e-01	   2.6759808e+02	   8.0604863e-02	
   2.4997136e+02	   4.4355121e+01	  -4.3307000e+01	   1.9075571e+00	   4.9557879e-02	   1.8512510e+01	   3.3377785e+01	   8.4391148e+01	   3.1458107e+00	   3.4237257e+02	   8.3169411e-02	
   2.4998544e+02	   4.4372388e+01	  -4.3314000e+01	   2.0123345e+00	   4.9020492e-02	   1.8497533e+01	   3.3385620e+01	   8.6900000e+01	   3.5006190e+00	   3.4259381e+02	   9.8627219e-02	
   2.4999951e+02	   4.4379000e+01	  -4.3315346e+01	   1.9498016e+00	   5.2508698e-02	   1.8610737e+01	   3.3397354e+01	   8.6918540e+01	   4.6777520e-01	   2.3148158e+02	   1.0231380e-01	
