   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading	Chl
   8.1385972e+01	   2.4736337e+01	  -6.0864663e+01	   2.5444691e+00	   3.2194089e-01	   2.4508664e+01	   3.6940533e+01	   7.8750574e+01	   1.1911456e+01	   4.4200000e+01	             NaN	
   8.1400347e+01	   2.4779606e+01	  -6.0816263e+01	   2.8251689e+00	   2.6627101e-01	   2.4501987e+01	   3.6939376e+01	   7.8700000e+01	   1.1881545e+01	   4.2370867e+01	             NaN	
   8.1414676e+01	   2.4823004e+01	  -6.0766996e+01	   2.5598991e+00	   2.0048235e-01	   2.4467155e+01	   3.6919416e+01	   7.9151672e+01	   1.1949777e+01	   4.3048328e+01	             NaN	
   8.1429028e+01	   2.4866337e+01	  -6.0717494e+01	   2.2756169e+00	   1.8697381e-01	   2.4475217e+01	   3.6945988e+01	   8.0119076e+01	   1.1636630e+01	   4.3038152e+01	             NaN	
   8.1443426e+01	   2.4911705e+01	  -6.0667295e+01	   2.3627920e+00	   2.2898126e-01	   2.4502444e+01	   3.6965795e+01	   8.2852737e+01	   1.1691781e+01	   4.5013467e+01	             NaN	
   8.1457778e+01	   2.4956137e+01	  -6.0618295e+01	   2.4900849e+00	   2.3055655e-01	   2.4514351e+01	   3.6964535e+01	   8.2700000e+01	   1.1915067e+01	   4.3417816e+01	             NaN	
   8.1472153e+01	   2.5001537e+01	  -6.0568195e+01	   2.4096887e+00	   2.5208949e-01	   2.4574100e+01	   3.7134571e+01	   8.3073862e+01	   1.1873153e+01	   4.3510084e+01	             NaN	
   8.1486505e+01	   2.5046870e+01	  -6.0518195e+01	   3.0317802e+00	   2.9120184e-01	   2.4572079e+01	   3.7136821e+01	   8.1602651e+01	   1.1815457e+01	   4.4277879e+01	             NaN	
   8.1500856e+01	   2.5094203e+01	  -6.0468195e+01	   2.7801249e+00	   2.9122162e-01	   2.4642397e+01	   3.7130155e+01	   8.0258427e+01	   1.1870437e+01	   4.3718602e+01	             NaN	
   8.1518542e+01	   2.5153205e+01	  -6.0406863e+01	   3.0265835e+00	   3.4912749e-01	   2.4598773e+01	   3.7098449e+01	   8.1897393e+01	   1.1820261e+01	   4.3020521e+01	             NaN	
   8.1562292e+01	   2.5306205e+01	  -6.0261795e+01	   3.0109129e+00	   2.1861098e-01	   2.4732173e+01	   3.6931244e+01	   7.9641003e+01	   1.1894784e+01	   4.3234169e+01	             NaN	
   8.1576620e+01	   2.5353403e+01	  -6.0211597e+01	   3.2266277e+00	   3.1661801e-01	   2.4755517e+01	   3.6940377e+01	   7.7679010e+01	   1.2046297e+01	   4.7310495e+01	             NaN	
   8.1590972e+01	   2.5399737e+01	  -6.0159263e+01	   2.9565213e+00	   3.0746361e-01	   2.4803673e+01	   3.6946353e+01	   7.7910489e+01	   1.1913123e+01	   4.7721214e+01	             NaN	
   8.1605370e+01	   2.5446203e+01	  -6.0106695e+01	   3.0429904e+00	   2.9733666e-01	   2.4818717e+01	   3.6947580e+01	   7.7800000e+01	   1.2000160e+01	   4.7530480e+01	             NaN	
   8.1619722e+01	   2.5493537e+01	  -6.0053695e+01	   2.9777326e+00	   3.0698992e-01	   2.4833122e+01	   3.6951616e+01	   7.8239052e+01	   1.2001588e+01	   4.7091422e+01	             NaN	
   8.1634097e+01	   2.5541405e+01	  -6.0000595e+01	   2.9294865e+00	   2.9261137e-01	   2.4842509e+01	   3.6961325e+01	   7.7480938e+01	   1.2010635e+01	   4.7365885e+01	             NaN	
   8.1648449e+01	   2.5590270e+01	  -5.9947730e+01	   2.7012546e+00	   2.8271425e-01	   2.4757103e+01	   3.6960987e+01	   7.7200000e+01	   1.1959441e+01	   4.7200000e+01	             NaN	
   8.1662801e+01	   2.5638603e+01	  -5.9895595e+01	   2.7781652e+00	   2.7505523e-01	   2.4743927e+01	   3.6944081e+01	   7.8461810e+01	   1.2020075e+01	   4.6880905e+01	             NaN	
   8.1677176e+01	   2.5688003e+01	  -5.9842997e+01	   2.6631899e+00	   2.5917554e-01	   2.4751801e+01	   3.6959302e+01	   7.6751342e+01	   1.2110000e+01	   4.7154325e+01	             NaN	
   8.1691528e+01	   2.5737336e+01	  -5.9790664e+01	   2.6065319e+00	   2.9435242e-01	   2.4744250e+01	   3.6973234e+01	   7.7250446e+01	   1.2016637e+01	   5.2466369e+01	             NaN	
   8.1705903e+01	   2.5774736e+01	  -5.9748396e+01	   3.0586350e+00	   8.9813713e-01	   2.4802163e+01	   3.7032438e+01	   7.6539559e+01	   1.0431323e+01	   5.0073627e+01	             NaN	
   8.1720255e+01	   2.5822070e+01	  -5.9691396e+01	   2.6805440e+00	   2.6937985e-01	   2.4870388e+01	   3.7122162e+01	   7.7339568e+01	   1.2626739e+01	   4.9865225e+01	             NaN	
