   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading
   1.7733986e+02	   4.0249798e+01	  -6.1475254e+01	   4.3590761e-01	   4.8580750e-02	   2.1478595e+01	   3.4290598e+01	   8.4700000e-01	   6.6237809e+00	   8.3960123e+01	
   1.7734055e+02	   4.0250257e+01	  -6.1470571e+01	   3.4414468e-01	   4.6004577e-02	   2.1562933e+01	   3.4531085e+01	   8.4520605e-01	   6.7067436e+00	   8.7972970e+01	
   1.7734126e+02	   4.0250571e+01	  -6.1465817e+01	   3.5986904e-01	   4.6347070e-02	   2.1635513e+01	   3.4601306e+01	   8.3750631e-01	   6.6558262e+00	   8.8552744e+01	
   1.7734195e+02	   4.0250862e+01	  -6.1461160e+01	   3.0535161e-01	   4.2850745e-02	   2.1694244e+01	   3.4642647e+01	   8.3222757e-01	   6.6554226e+00	   8.8779138e+01	
   1.7734264e+02	   4.0251131e+01	  -6.1456599e+01	   3.3012172e-01	   4.8286582e-02	   2.1743864e+01	   3.4703252e+01	   8.3310662e-01	   6.5520015e+00	   8.8481253e+01	
   1.7734334e+02	   4.0251426e+01	  -6.1451889e+01	   3.4737670e-01	   4.3028745e-02	   2.1789094e+01	   3.4725024e+01	   8.2764000e-01	   6.5783256e+00	   8.7163777e+01	
   1.7734404e+02	   4.0251737e+01	  -6.1447280e+01	   3.5080963e-01	   4.4468588e-02	   2.1829548e+01	   3.4732876e+01	   8.2859737e-01	   6.5057465e+00	   8.7873626e+01	
   1.7734472e+02	   4.0251984e+01	  -6.1442757e+01	   3.1097531e-01	   4.3783839e-02	   2.1865308e+01	   3.4730877e+01	   8.3216685e-01	   6.4516054e+00	   8.7972946e+01	
   1.7734541e+02	   4.0252229e+01	  -6.1438097e+01	   3.0122527e-01	   4.5344192e-02	   2.1895818e+01	   3.4739717e+01	   8.3400293e-01	   6.5301602e+00	   8.8722414e+01	
   1.7734611e+02	   4.0252490e+01	  -6.1433548e+01	   3.2376713e-01	   4.7648408e-02	   2.1922982e+01	   3.4747262e+01	   8.3216691e-01	   6.5180482e+00	   8.8930542e+01	
   1.7734680e+02	   4.0252732e+01	  -6.1428968e+01	   4.2361010e-01	   4.7911585e-02	   2.1946431e+01	   3.4741827e+01	   8.3490000e-01	   6.3758379e+00	   8.7351750e+01	
   1.7734750e+02	   4.0252992e+01	  -6.1424386e+01	   3.6232730e-01	   4.5021742e-02	   2.1970524e+01	   3.4737321e+01	   8.3490000e-01	   6.4323576e+00	   8.6850596e+01	
   1.7734819e+02	   4.0253247e+01	  -6.1419891e+01	   3.4133380e-01	   4.6183975e-02	   2.1996473e+01	   3.4745145e+01	   8.3609613e-01	   6.4802277e+00	   8.6971848e+01	
   1.7734889e+02	   4.0253505e+01	  -6.1415351e+01	   3.4194315e-01	   4.4868074e-02	   2.2023371e+01	   3.4747933e+01	   8.3764765e-01	   6.4519689e+00	   8.7676484e+01	
   1.7734959e+02	   4.0253774e+01	  -6.1410762e+01	   4.0327812e-01	   5.2534184e-02	   2.2050601e+01	   3.4748792e+01	   8.3222745e-01	   6.4302831e+00	   8.7352752e+01	
   1.7735029e+02	   4.0254051e+01	  -6.1406247e+01	   3.4674596e-01	   5.1118286e-02	   2.2078296e+01	   3.4732353e+01	   8.3713410e-01	   6.4481456e+00	   8.7262611e+01	
   1.7735097e+02	   4.0254322e+01	  -6.1401768e+01	   3.3485128e-01	   4.2173610e-02	   2.2106764e+01	   3.4712071e+01	   8.4247315e-01	   6.4773254e+00	   8.6649413e+01	
   1.7735166e+02	   4.0254586e+01	  -6.1397154e+01	   3.0872963e-01	   4.3886449e-02	   2.2135128e+01	   3.4709370e+01	   8.3764684e-01	   6.5431680e+00	   8.6528161e+01	
   1.7735237e+02	   4.0254856e+01	  -6.1392533e+01	   3.2571846e-01	   4.3160194e-02	   2.2160773e+01	   3.4716620e+01	   8.3127000e-01	   6.5485948e+00	   8.6517603e+01	
   1.7735307e+02	   4.0255104e+01	  -6.1388008e+01	   4.2991655e-01	   4.8044602e-02	   2.2186732e+01	   3.4714130e+01	   8.3350387e-01	   6.5786674e+00	   8.8931869e+01	
   1.7735375e+02	   4.0255336e+01	  -6.1383601e+01	   3.2922283e-01	   4.6192358e-02	   2.2213919e+01	   3.4713034e+01	   8.3854437e-01	   6.5847476e+00	   8.9077672e+01	
   1.7735445e+02	   4.0255554e+01	  -6.1378990e+01	   2.7572449e-01	   4.1138122e-02	   2.2241338e+01	   3.4717997e+01	   8.3617676e-01	   6.4654404e+00	   8.8162586e+01	
   1.7735515e+02	   4.0255800e+01	  -6.1374440e+01	   3.6170344e-01	   4.8254993e-02	   2.2266370e+01	   3.4722161e+01	   8.3846368e-01	   6.4256486e+00	   8.7552741e+01	
   1.7735584e+02	   4.0256048e+01	  -6.1369865e+01	   3.6524793e-01	   4.3934717e-02	   2.2287264e+01	   3.4732655e+01	   8.3298529e-01	   6.4276257e+00	   8.7726373e+01	
   1.7735654e+02	   4.0256296e+01	  -6.1365356e+01	   3.6435800e-01	   4.5371919e-02	   2.2305225e+01	   3.4751189e+01	   8.2572486e-01	   6.4786641e+00	   8.7562587e+01	
   1.7735722e+02	   4.0256559e+01	  -6.1360880e+01	   3.9753145e-01	   4.5480892e-02	   2.2318890e+01	   3.4758758e+01	   8.1948312e-01	   6.4004070e+00	   8.7097659e+01	
   1.7735791e+02	   4.0256824e+01	  -6.1356386e+01	   3.6054156e-01	   4.5493949e-02	   2.2330817e+01	   3.4764089e+01	   8.1585309e-01	   6.4017380e+00	   8.7650583e+01	
   1.7735862e+02	   4.0257079e+01	  -6.1351714e+01	   4.7016856e-01	   4.9559578e-02	   2.2342090e+01	   3.4767143e+01	   8.1503441e-01	   6.4007742e+00	   8.7447261e+01	
   1.7735932e+02	   4.0257327e+01	  -6.1347057e+01	   3.9265321e-01	   4.5033355e-02	   2.2352027e+01	   3.4767652e+01	   8.1942247e-01	   6.4020723e+00	   8.7247243e+01	
   1.7736000e+02	   4.0257568e+01	  -6.1342542e+01	   3.8992307e-01	   5.0966669e-02	   2.2360233e+01	   3.4766005e+01	   8.1884228e-01	   6.3731709e+00	   8.7396427e+01	
   1.7736070e+02	   4.0257786e+01	  -6.1337898e+01	   4.1413644e-01	   4.4692247e-02	   2.2365576e+01	   3.4764906e+01	   8.2522000e-01	   6.4473558e+00	   8.7719692e+01	
   1.7736140e+02	   4.0258014e+01	  -6.1333351e+01	   3.1090647e-01	   4.4712744e-02	   2.2369065e+01	   3.4766492e+01	   8.2522000e-01	   6.4705866e+00	   8.6627478e+01	
   1.7736208e+02	   4.0258218e+01	  -6.1328914e+01	   3.8744737e-01	   4.5823811e-02	   2.2370558e+01	   3.4771830e+01	   8.2581792e-01	   6.4402880e+00	   8.8025878e+01	
   1.7736278e+02	   4.0258411e+01	  -6.1324295e+01	   3.9467586e-01	   4.4040059e-02	   2.2367686e+01	   3.4778237e+01	   8.2764000e-01	   6.4758809e+00	   8.7824712e+01	
   1.7736347e+02	   4.0258621e+01	  -6.1319714e+01	   2.9348426e-01	   4.3588357e-02	   2.2363170e+01	   3.4782095e+01	   8.2764000e-01	   6.5563561e+00	   8.7727030e+01	
   1.7736418e+02	   4.0258826e+01	  -6.1315022e+01	   3.3272743e-01	   4.3525665e-02	   2.2355104e+01	   3.4783537e+01	   8.2764000e-01	   6.4548706e+00	   8.7358256e+01	
   1.7736487e+02	   4.0259051e+01	  -6.1310445e+01	   3.8593944e-01	   4.5844053e-02	   2.2343687e+01	   3.4781959e+01	   8.2859721e-01	   6.4216320e+00	   8.7483567e+01	
   1.7736555e+02	   4.0259277e+01	  -6.1305909e+01	   3.7328576e-01	   4.6318313e-02	   2.2331104e+01	   3.4775749e+01	   8.3216710e-01	   6.4455499e+00	   8.7069557e+01	
   1.7736625e+02	   4.0259471e+01	  -6.1301365e+01	   3.2289199e-01	   4.6306668e-02	   2.2322166e+01	   3.4778000e+01	   8.3490000e-01	   6.4132973e+00	   8.8401188e+01	
   1.7736695e+02	   4.0259635e+01	  -6.1296781e+01	   3.5979029e-01	   4.4480628e-02	   2.2317889e+01	   3.4786800e+01	   8.3394255e-01	   6.4447003e+00	   8.8152752e+01	
   1.7736765e+02	   4.0259809e+01	  -6.1292181e+01	   4.6303313e-01	   5.0811407e-02	   2.2318065e+01	   3.4797035e+01	   8.3127000e-01	   6.5295994e+00	   8.8141735e+01	
   1.7736833e+02	   4.0259967e+01	  -6.1287595e+01	   3.7634433e-01	   4.6084369e-02	   2.2320768e+01	   3.4809124e+01	   8.3127000e-01	   6.5107923e+00	   8.7675293e+01	
   1.7736903e+02	   4.0260196e+01	  -6.1283000e+01	   4.2832715e-01	   5.0942467e-02	   2.2323785e+01	   3.4812984e+01	   8.3037296e-01	   6.5536339e+00	   8.7427018e+01	
   1.7736973e+02	   4.0260402e+01	  -6.1278330e+01	   3.3007798e-01	   4.4461298e-02	   2.2330047e+01	   3.4802966e+01	   8.2859736e-01	   6.4854536e+00	   8.7137361e+01	
   1.7737043e+02	   4.0260627e+01	  -6.1273603e+01	   4.2082837e-01	   5.0060292e-02	   2.2340134e+01	   3.4800327e+01	   8.3031266e-01	   6.4234994e+00	   8.7984611e+01	
   1.7737111e+02	   4.0260813e+01	  -6.1268868e+01	   3.8715845e-01	   4.7469727e-02	   2.2352223e+01	   3.4800738e+01	   8.2704218e-01	   6.4146291e+00	   8.8302375e+01	
   1.7737182e+02	   4.0260986e+01	  -6.1264230e+01	   4.2072364e-01	   5.1929086e-02	   2.2361981e+01	   3.4799452e+01	   8.2394324e-01	   6.4099916e+00	   8.7541724e+01	
   1.7737251e+02	   4.0261210e+01	  -6.1259669e+01	   3.1330958e-01	   4.3261759e-02	   2.2372937e+01	   3.4807142e+01	   8.2165637e-01	   6.4430011e+00	   8.6941773e+01	
   1.7737319e+02	   4.0261457e+01	  -6.1255207e+01	   4.7069637e-01	   5.1742389e-02	   2.2382795e+01	   3.4812832e+01	   8.2522000e-01	   6.4315124e+00	   8.6722359e+01	
   1.7737389e+02	   4.0261659e+01	  -6.1250691e+01	   4.1676845e-01	   4.5114846e-02	   2.2393044e+01	   3.4809271e+01	   8.2581807e-01	   6.3912137e+00	   8.7301146e+01	
   1.7737458e+02	   4.0261860e+01	  -6.1246142e+01	   4.6185806e-01	   5.0106607e-02	   2.2403793e+01	   3.4802588e+01	   8.2853688e-01	   6.4517868e+00	   8.7172952e+01	
   1.7737528e+02	   4.0262057e+01	  -6.1241572e+01	   4.6824121e-01	   5.0464599e-02	   2.2414743e+01	   3.4800287e+01	   8.3127000e-01	   6.4317498e+00	   8.7897673e+01	
   1.7737598e+02	   4.0262204e+01	  -6.1236938e+01	   3.5228276e-01	   4.9479555e-02	   2.2426001e+01	   3.4806316e+01	   8.3031280e-01	   6.3238959e+00	   8.8209938e+01	
   1.7737668e+02	   4.0262382e+01	  -6.1232411e+01	   4.8939670e-01	   5.6208652e-02	   2.2437081e+01	   3.4816591e+01	   8.2859753e-01	   6.3756237e+00	   8.7426378e+01	
   1.7737736e+02	   4.0262539e+01	  -6.1227977e+01	   4.8126219e-01	   5.0962608e-02	   2.2447920e+01	   3.4826471e+01	   8.3127000e-01	   6.4108780e+00	   8.7524703e+01	
   1.7737807e+02	   4.0262694e+01	  -6.1223380e+01	   4.6618316e-01	   5.3534198e-02	   2.2458264e+01	   3.4834439e+01	   8.3031252e-01	   6.3750561e+00	   8.7494493e+01	
   1.7737876e+02	   4.0262874e+01	  -6.1218863e+01	   4.6125399e-01	   5.4555797e-02	   2.2468575e+01	   3.4840825e+01	   8.2700173e-01	   6.3749979e+00	   8.7252750e+01	
   1.7737944e+02	   4.0263063e+01	  -6.1214450e+01	   6.2549486e-01	   5.3483288e-02	   2.2479392e+01	   3.4862313e+01	   8.2402420e-01	   6.3512068e+00	   8.7474120e+01	
   1.7738014e+02	   4.0263293e+01	  -6.1209931e+01	   5.7502333e-01	   5.5892193e-02	   2.2490371e+01	   3.4893891e+01	   8.2038000e-01	   6.4135924e+00	   8.7724713e+01	
