   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading	Chl
   1.3598328e+02	   4.6105637e+01	  -5.0979363e+01	   5.5582562e+00	   2.4466499e-01	   2.9476968e+00	   3.2351461e+01	   4.3612156e+02	   1.1360000e+01	   4.0433894e+01	   5.5097346e+00	
   1.3599736e+02	   4.6154291e+01	  -5.0917563e+01	   3.9088103e+00	   1.1886498e-01	   2.7642183e+00	   3.2364502e+01	   3.7392877e+02	   1.1698545e+01	   4.0660703e+01	   5.8600237e+00	
   1.3601143e+02	   4.6202237e+01	  -5.0855763e+01	   4.7208131e+00	   1.3577452e-01	   2.8232741e+00	   3.2368489e+01	   4.7072913e+02	   1.1377789e+01	   4.0486274e+01	   6.2103152e+00	
   1.3602551e+02	   4.6252358e+01	  -5.0798963e+01	   5.4115288e+00	   1.6504425e-01	   2.7073733e+00	   3.2396818e+01	   3.8347967e+02	   1.1286054e+01	   3.6206845e+01	   4.9834931e+00	
   1.3603958e+02	   4.6302891e+01	  -5.0745163e+01	   9.1754113e+00	   2.6323692e-01	   2.5160891e+00	   3.2448160e+01	   3.0959061e+02	   1.1177825e+01	   3.5743631e+01	   4.3409717e+00	
   1.3605365e+02	   4.6353637e+01	  -5.0692576e+01	   8.0492277e+00	   2.4701320e-01	   2.3748476e+00	   3.2456812e+01	   3.4780680e+02	   1.1013294e+01	   3.5403021e+01	   4.1362340e+00	
   1.3606773e+02	   4.6404438e+01	  -5.0639042e+01	   8.4770700e+00	   2.1689491e-01	   2.1272687e+00	   3.2497831e+01	   2.6753485e+02	   1.1092710e+01	   3.4762910e+01	   2.9874341e+00	
   1.3608180e+02	   4.6455491e+01	  -5.0585763e+01	   8.0805445e+00	   2.2687630e-01	   2.3466806e+00	   3.2501802e+01	   2.6513344e+02	   1.1166928e+01	   3.5776859e+01	   1.7644972e+00	
   1.3609588e+02	   4.6506037e+01	  -5.0531976e+01	   1.0308793e+01	   3.0262568e-01	   2.2466117e+00	   3.2505665e+01	   2.4444721e+02	   1.1000861e+01	   3.4620194e+01	   2.3147627e+00	
   1.3610995e+02	   4.6556837e+01	  -5.0478442e+01	   9.3907206e+00	   2.7207591e-01	   1.9332414e+00	   3.2573295e+01	   2.7365998e+02	   1.1014991e+01	   3.4732575e+01	   2.7666234e+00	
